date,open,high,low,close,change,ADX,EMA_12,KAMA,MA_10,MACD,MACD_signal,MACD_hist,RSI,PSAR,SMA_20
2002/3/21,1151.85,1155.1,1139.48,1153.59,0.15%,24.58,1155.2,1156.18,1162.29,10.57,10.04,0.53,55.56,1173.49,1145.01
2002/3/22,1153.59,1156.49,1144.6,1148.7,-0.42%,23.21,1154.2,1155.84,1160.73,9.27,9.89,-0.62,53.31,1172.13,1147.96
2002/3/25,1148.7,1151.04,1131.87,1131.87,-1.47%,22.13,1150.76,1152.83,1157.09,6.8,9.27,-2.47,46.35,1170.83,1149.08
2002/3/26,1131.87,1147.0,1131.61,1138.49,0.58%,21.14,1148.88,1151.78,1154.38,5.32,8.48,-3.16,49.16,1168.49,1150.53
2002/3/27,1138.49,1146.95,1135.33,1144.58,0.53%,20.22,1148.21,1151.48,1152.41,4.58,7.7,-3.12,51.67,1165.54,1152.27
2002/3/28,1144.58,1154.45,1144.58,1147.39,0.25%,18.85,1148.09,1151.43,1151.85,4.18,7.0,-2.82,52.83,1162.82,1154.3
2002/4/1,1147.39,1147.84,1132.87,1146.54,-0.07%,18.34,1147.85,1151.12,1149.88,3.74,6.35,-2.6,52.42,1160.33,1155.04
2002/4/2,1146.54,1146.54,1135.71,1136.76,-0.85%,17.86,1146.14,1149.81,1147.01,2.58,5.59,-3.01,47.83,1158.03,1154.19
2002/4/3,1136.76,1138.85,1119.68,1125.4,-1.00%,18.47,1142.95,1145.81,1142.52,0.74,4.62,-3.89,43.11,1155.92,1153.15
2002/4/4,1125.4,1130.45,1120.06,1126.34,0.08%,19.04,1140.4,1143.9,1139.97,-0.64,3.57,-4.21,43.61,1152.29,1151.33
2002/4/5,1126.34,1133.31,1119.49,1122.73,-0.32%,19.26,1137.68,1141.22,1136.88,-2.0,2.45,-4.46,42.09,1149.03,1149.59
2002/4/8,1122.73,1125.41,1111.79,1125.29,0.23%,19.96,1135.77,1139.85,1134.54,-2.84,1.39,-4.24,43.59,1145.49,1147.64
2002/4/9,1125.29,1128.29,1116.73,1117.8,-0.67%,20.29,1133.01,1138.71,1133.13,-4.07,0.3,-4.37,40.3,1140.77,1145.11
2002/4/10,1117.8,1131.76,1117.8,1130.47,1.13%,20.22,1132.62,1138.53,1132.33,-3.97,-0.55,-3.42,47.51,1136.71,1143.36
2002/4/11,1130.47,1130.47,1102.42,1103.69,-2.37%,21.13,1128.17,1133.58,1128.24,-5.98,-1.64,-4.34,37.27,1133.22,1140.33
2002/4/12,1103.69,1112.77,1102.74,1111.01,0.66%,21.97,1125.53,1131.17,1124.6,-6.91,-2.69,-4.22,41.01,1130.47,1138.23
2002/4/15,1111.01,1114.86,1099.41,1102.55,-0.76%,22.95,1121.99,1127.55,1120.2,-8.23,-3.8,-4.43,38.17,1125.98,1135.04
2002/4/16,1102.55,1129.4,1102.55,1128.37,2.34%,22.3,1122.97,1127.56,1119.37,-7.11,-4.46,-2.65,49.62,1099.41,1133.19
2002/4/17,1128.37,1133.0,1123.37,1126.07,-0.20%,21.37,1123.45,1127.55,1119.43,-6.34,-4.84,-1.5,48.76,1100.01,1130.97
2002/4/18,1126.07,1130.49,1109.29,1124.47,-0.14%,21.46,1123.61,1127.53,1119.24,-5.79,-5.03,-0.76,48.13,1101.33,1129.61
2002/4/19,1124.47,1128.82,1122.59,1125.17,0.06%,21.54,1123.85,1127.52,1119.49,-5.23,-5.07,-0.17,48.44,1102.6,1128.18
2002/4/22,1125.17,1125.17,1105.62,1107.83,-1.54%,22.56,1121.38,1127.01,1117.74,-6.12,-5.28,-0.84,41.71,1103.81,1126.14
2002/4/23,1107.83,1111.17,1098.94,1100.96,-0.62%,23.81,1118.24,1126.37,1116.06,-7.3,-5.68,-1.62,39.38,1133.0,1124.6
2002/4/24,1100.96,1108.46,1092.51,1093.14,-0.71%,25.26,1114.38,1123.79,1112.33,-8.76,-6.3,-2.46,36.85,1132.32,1122.33
2002/4/25,1093.14,1094.36,1084.81,1091.48,-0.15%,26.91,1110.86,1123.0,1111.1,-9.94,-7.03,-2.91,36.32,1130.73,1119.67
2002/4/26,1091.48,1096.77,1076.31,1076.32,-1.39%,28.76,1105.54,1118.73,1107.64,-11.96,-8.01,-3.94,31.8,1127.97,1116.12
2002/4/29,1076.32,1078.95,1063.62,1065.45,-1.01%,30.88,1099.37,1113.53,1103.93,-14.27,-9.26,-5.01,29.01,1123.84,1112.06
2002/4/30,1065.45,1082.62,1063.46,1076.92,1.08%,32.44,1095.92,1105.33,1098.78,-15.0,-10.41,-4.59,35.44,1117.82,1109.07
2002/5/1,1076.92,1088.32,1065.29,1086.46,0.89%,33.27,1094.46,1102.99,1094.82,-14.65,-11.26,-3.39,40.29,1111.29,1107.13
2002/5/2,1086.46,1091.42,1079.46,1084.56,-0.17%,33.71,1092.94,1100.7,1090.83,-14.35,-11.88,-2.47,39.65,1105.55,1105.04
2002/5/3,1084.56,1084.56,1068.89,1073.43,-1.03%,34.58,1089.94,1096.4,1085.66,-14.85,-12.47,-2.37,36.05,1100.5,1102.57
2002/5/6,1073.43,1075.96,1052.65,1052.67,-1.93%,35.96,1084.21,1089.18,1080.14,-16.72,-13.32,-3.4,30.48,1096.06,1098.94
2002/5/7,1052.67,1058.67,1048.96,1049.49,-0.30%,37.35,1078.86,1082.96,1074.99,-18.25,-14.31,-3.94,29.73,1089.98,1095.53
2002/5/8,1049.49,1088.92,1049.49,1088.85,3.75%,36.02,1080.4,1083.0,1074.56,-16.1,-14.67,-1.44,47.2,1048.96,1093.44
2002/5/9,1088.85,1088.85,1072.23,1073.01,-1.45%,34.79,1079.26,1082.79,1072.72,-15.5,-14.83,-0.67,42.61,1049.49,1091.91
2002/5/10,1073.01,1075.43,1053.93,1054.99,-1.68%,34.46,1075.53,1082.13,1070.58,-16.29,-15.12,-1.16,38.07,1050.28,1089.11
2002/5/13,1054.99,1074.84,1053.9,1074.56,1.85%,34.17,1075.38,1082.05,1071.49,-15.16,-15.13,-0.03,44.93,1051.05,1087.71
2002/5/14,1074.56,1097.71,1074.56,1097.28,2.11%,32.3,1078.75,1082.35,1073.53,-12.29,-14.56,2.27,51.63,1051.81,1086.16
2002/5/15,1097.28,1104.23,1088.94,1091.07,-0.57%,30.18,1080.64,1082.41,1073.99,-10.39,-13.73,3.33,49.85,1053.64,1084.41
2002/5/16,1091.07,1099.29,1089.17,1098.23,0.66%,28.21,1083.35,1082.62,1075.36,-8.22,-12.63,4.4,51.91,1056.68,1083.09
2002/5/17,1098.23,1106.59,1096.77,1106.59,0.76%,26.45,1086.93,1083.47,1078.67,-5.76,-11.25,5.49,54.28,1059.53,1082.16
2002/5/20,1106.59,1106.59,1090.61,1091.88,-1.33%,24.69,1087.69,1083.86,1082.6,-4.94,-9.99,5.05,49.65,1063.3,1081.37
2002/5/21,1091.88,1099.55,1079.08,1079.88,-1.10%,23.73,1086.49,1083.74,1085.63,-5.19,-9.03,3.84,46.19,1066.76,1080.31
2002/5/22,1079.88,1086.02,1075.64,1086.02,0.57%,23.02,1086.41,1083.75,1085.35,-4.85,-8.19,3.35,48.18,1069.95,1079.96
2002/5/23,1086.02,1097.1,1080.55,1097.08,1.02%,21.6,1088.06,1084.18,1087.76,-3.64,-7.28,3.65,51.65,1072.88,1080.24
2002/5/24,1097.08,1097.08,1082.19,1083.82,-1.21%,20.29,1087.4,1084.17,1090.64,-3.71,-6.57,2.86,47.54,1075.58,1080.61
2002/5/28,1083.82,1085.98,1070.31,1074.55,-0.86%,19.79,1085.43,1084.13,1090.64,-4.46,-6.15,1.69,44.85,1106.59,1081.07
